iter	Passed	Remaining
0	58	58880
1	68	34390
2	77	25734
3	83	20708
4	88	17578
5	92	15392
6	97	13773
7	101	12535
8	105	11567
9	109	10807
10	112	10147
11	117	9640
12	123	9357
13	127	9004
14	132	8676
15	134	8276
16	138	8014
17	142	7788
18	146	7584
19	151	7407
20	153	7177
21	158	7036
22	162	6889
23	166	6765
24	170	6633
25	173	6516
26	178	6418
27	182	6333
28	185	6202
29	189	6120
30	193	6036
31	197	5967
32	201	5899
33	205	5844
34	209	5782
35	213	5717
36	217	5658
37	221	5616
38	225	5564
39	229	5513
40	233	5463
41	237	5424
42	242	5392
43	246	5363
44	251	5340
45	256	5309
46	260	5288
47	264	5255
48	268	5211
49	272	5177
50	275	5118
51	279	5094
52	283	5069
53	287	5042
54	292	5019
55	296	4993
56	300	4964
57	304	4942
58	308	4922
59	312	4901
60	317	4880
61	321	4861
62	325	4838
63	329	4816
64	333	4798
65	337	4781
66	340	4740
67	344	4719
68	348	4702
69	352	4686
70	357	4671
71	361	4654
72	365	4642
73	369	4629
74	374	4614
75	377	4595
76	382	4582
77	386	4571
78	390	4555
79	394	4541
80	399	4528
81	403	4516
82	407	4506
83	411	4492
84	416	4478
85	420	4467
86	424	4456
87	428	4442
88	432	4424
89	436	4412
90	440	4400
91	444	4389
92	448	4378
93	453	4368
94	457	4359
95	462	4350
96	466	4340
97	470	4330
98	474	4321
99	478	4310
100	482	4293
101	486	4283
102	490	4273
103	494	4261
104	498	4251
105	503	4242
106	507	4233
107	511	4223
108	515	4215
109	520	4207
110	522	4188
111	527	4180
112	531	4171
113	535	4160
114	538	4141
115	542	4133
116	546	4125
117	550	4116
118	554	4108
119	559	4100
120	563	4093
121	567	4086
122	571	4077
123	576	4070
124	580	4063
125	584	4051
126	588	4043
127	592	4035
128	597	4031
129	601	4024
130	606	4024
131	610	4017
132	615	4010
133	619	4003
134	623	3996
135	628	3992
136	632	3983
137	636	3976
138	640	3969
139	643	3950
140	647	3943
141	651	3934
142	654	3924
143	658	3912
144	662	3905
145	664	3887
146	668	3878
147	672	3871
148	676	3863
149	680	3857
150	684	3850
151	689	3845
152	693	3838
153	697	3832
154	701	3825
155	706	3822
156	710	3815
157	714	3807
158	718	3798
159	722	3792
160	726	3786
161	730	3781
162	735	3775
163	738	3764
164	742	3757
165	746	3752
166	751	3747
167	755	3741
168	759	3736
169	764	3731
170	767	3719
171	771	3714
172	775	3709
173	779	3701
174	784	3696
175	787	3689
176	792	3683
177	796	3679
178	800	3672
179	804	3666
180	809	3660
181	813	3655
182	817	3649
183	821	3644
184	825	3638
185	830	3633
186	834	3627
187	838	3621
188	842	3616
189	847	3611
190	851	3604
191	855	3598
192	859	3592
193	863	3587
194	867	3582
195	872	3579
196	877	3576
197	882	3574
198	887	3570
199	891	3566
200	896	3562
201	900	3557
202	904	3550
203	908	3546
204	913	3541
205	917	3537
206	921	3531
207	926	3526
208	930	3520
209	934	3515
210	938	3510
211	942	3504
212	947	3499
213	951	3494
214	955	3488
215	959	3484
216	964	3479
217	968	3473
218	972	3469
219	976	3463
220	981	3458
221	985	3453
222	989	3448
223	993	3443
224	998	3437
225	1002	3433
226	1006	3428
227	1010	3422
228	1014	3416
229	1018	3411
230	1023	3406
231	1027	3401
232	1031	3396
233	1035	3391
234	1040	3388
235	1045	3383
236	1049	3378
237	1053	3374
238	1058	3369
239	1062	3364
240	1066	3360
241	1071	3355
242	1075	3350
243	1080	3347
244	1084	3342
245	1089	3338
246	1093	3333
247	1097	3328
248	1101	3323
249	1106	3318
250	1110	3314
251	1114	3308
252	1119	3304
253	1124	3301
254	1128	3296
255	1132	3291
256	1136	3286
257	1141	3281
258	1145	3277
259	1149	3272
260	1154	3268
261	1158	3263
262	1162	3258
263	1167	3253
264	1171	3249
265	1175	3244
266	1179	3239
267	1184	3234
268	1188	3229
269	1192	3225
270	1197	3220
271	1201	3216
272	1205	3210
273	1209	3205
274	1214	3201
275	1218	3196
276	1223	3192
277	1226	3186
278	1231	3182
279	1235	3177
280	1239	3172
281	1244	3167
282	1248	3163
283	1252	3158
284	1256	3153
285	1260	3147
286	1264	3142
287	1268	3136
288	1273	3131
289	1277	3127
290	1281	3122
291	1285	3117
292	1289	3111
293	1294	3107
294	1298	3103
295	1302	3098
296	1307	3094
297	1311	3090
298	1316	3086
299	1321	3082
300	1324	3076
301	1329	3072
302	1333	3067
303	1338	3063
304	1342	3059
305	1346	3054
306	1351	3050
307	1355	3046
308	1359	3041
309	1364	3036
310	1368	3031
311	1372	3026
312	1377	3022
313	1381	3018
314	1385	3013
315	1389	3008
316	1394	3003
317	1398	2999
318	1403	2995
319	1407	2990
320	1411	2986
321	1415	2981
322	1420	2976
323	1424	2971
324	1428	2966
325	1433	2963
326	1437	2959
327	1442	2954
328	1446	2950
329	1450	2945
330	1455	2941
331	1459	2937
332	1464	2932
333	1468	2927
334	1472	2923
335	1476	2918
336	1480	2913
337	1485	2908
338	1488	2903
339	1493	2899
340	1498	2895
341	1502	2890
342	1507	2886
343	1511	2882
344	1515	2877
345	1519	2872
346	1524	2868
347	1528	2864
348	1532	2859
349	1537	2854
350	1541	2850
351	1546	2846
352	1550	2841
353	1554	2837
354	1559	2833
355	1563	2828
356	1567	2823
357	1572	2819
358	1576	2814
359	1580	2808
360	1584	2804
361	1588	2799
362	1593	2795
363	1597	2791
364	1602	2787
365	1606	2783
366	1611	2778
367	1615	2774
368	1620	2770
369	1624	2765
370	1628	2761
371	1633	2756
372	1637	2752
373	1641	2747
374	1645	2743
375	1650	2739
376	1654	2734
377	1659	2730
378	1663	2725
379	1667	2721
380	1671	2716
381	1675	2711
382	1680	2706
383	1684	2701
384	1688	2697
385	1693	2693
386	1697	2688
387	1701	2683
388	1705	2678
389	1709	2674
390	1713	2669
391	1717	2664
392	1722	2660
393	1725	2654
394	1730	2650
395	1734	2645
396	1738	2640
397	1743	2636
398	1747	2632
399	1751	2627
400	1755	2622
401	1760	2618
402	1764	2614
403	1769	2610
404	1773	2605
405	1778	2601
406	1782	2597
407	1787	2593
408	1791	2589
409	1795	2583
410	1799	2579
411	1804	2574
412	1808	2570
413	1812	2565
414	1816	2560
415	1820	2555
416	1824	2551
417	1829	2547
418	1833	2542
419	1837	2537
420	1841	2532
421	1845	2527
422	1849	2523
423	1854	2518
424	1858	2514
425	1862	2509
426	1867	2505
427	1871	2501
428	1876	2497
429	1880	2492
430	1884	2488
431	1888	2483
432	1893	2479
433	1897	2474
434	1901	2469
435	1905	2465
436	1910	2461
437	1914	2456
438	1919	2452
439	1923	2448
440	1927	2443
441	1932	2439
442	1936	2434
443	1940	2430
444	1944	2425
445	1949	2421
446	1953	2417
447	1958	2412
448	1961	2407
449	1966	2403
450	1970	2398
451	1975	2394
452	1979	2390
453	1983	2385
454	1988	2381
455	1992	2377
456	1996	2372
457	2000	2367
458	2004	2363
459	2009	2359
460	2014	2354
461	2018	2350
462	2022	2346
463	2027	2341
464	2031	2337
465	2036	2333
466	2040	2328
467	2045	2324
468	2049	2320
469	2053	2316
470	2058	2311
471	2062	2307
472	2066	2302
473	2070	2298
474	2075	2293
475	2079	2289
476	2083	2284
477	2088	2280
478	2092	2276
479	2096	2271
480	2101	2267
481	2105	2262
482	2110	2258
