iter	Passed	Remaining
0	58	58047
1	68	34137
2	81	27175
3	90	22454
4	96	19292
5	102	16963
6	108	15370
7	113	14108
8	118	13041
9	122	12155
10	128	11521
11	132	10903
12	136	10349
13	141	9943
14	145	9563
15	148	9116
16	152	8840
17	157	8617
18	162	8400
19	166	8166
20	169	7893
21	175	7790
22	180	7666
23	184	7497
24	188	7357
25	193	7236
26	197	7108
27	201	6992
28	204	6838
29	210	6798
30	214	6718
31	219	6630
32	223	6560
33	228	6487
34	232	6404
35	236	6321
36	241	6273
37	245	6212
38	249	6141
39	253	6076
40	259	6062
41	264	6029
42	269	5998
43	275	5991
44	279	5936
45	283	5883
46	287	5833
47	293	5812
48	296	5754
49	300	5707
50	303	5644
51	308	5625
52	312	5585
53	316	5543
54	321	5519
55	325	5495
56	330	5468
57	334	5435
58	340	5437
59	345	5416
60	349	5384
61	354	5359
62	358	5336
63	362	5305
64	366	5275
65	371	5255
66	374	5210
67	378	5181
68	381	5153
69	385	5127
70	391	5116
71	395	5093
72	399	5068
73	403	5052
74	408	5040
75	411	5007
76	415	4984
77	423	5003
78	428	4992
79	432	4972
80	437	4958
81	441	4947
82	447	4939
83	453	4942
84	458	4940
85	463	4929
86	469	4926
87	474	4922
88	479	4907
89	484	4895
90	490	4895
91	495	4886
92	499	4867
93	505	4870
94	510	4864
95	515	4850
96	520	4849
97	525	4839
98	530	4832
99	536	4832
100	541	4820
101	546	4810
102	550	4796
103	556	4791
104	560	4775
105	564	4762
106	569	4757
107	575	4750
108	580	4741
109	586	4744
110	589	4722
111	593	4707
112	597	4692
113	602	4683
114	605	4661
115	609	4647
116	613	4633
117	618	4623
118	622	4611
119	626	4595
120	631	4587
121	638	4592
122	642	4579
123	646	4567
124	651	4557
125	655	4546
126	660	4539
127	664	4525
128	670	4525
129	674	4511
130	678	4498
131	682	4485
132	687	4481
133	691	4469
134	695	4455
135	702	4461
136	706	4449
137	710	4436
138	714	4425
139	716	4404
140	721	4393
141	724	4380
142	728	4366
143	732	4352
144	736	4345
145	739	4323
146	743	4311
147	747	4300
148	752	4296
149	756	4286
150	760	4277
151	765	4271
152	770	4264
153	774	4253
154	778	4242
155	784	4245
156	789	4239
157	793	4227
158	796	4215
159	803	4217
160	808	4213
161	812	4204
162	817	4199
163	821	4187
164	825	4180
165	830	4172
166	835	4168
167	839	4157
168	843	4148
169	848	4143
170	852	4133
171	856	4124
172	861	4116
173	865	4110
174	870	4102
175	873	4090
176	877	4080
177	883	4081
178	887	4072
179	891	4063
180	896	4057
